Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,28/3/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Egypt,EGY,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,445000,,,,450000,434000,434000,424000,424000,430000,610000,672000,680000,680000,680000,678500,768000,773000,780000,798000,799000,866000,866000,866000,865500,835500,835500,835500,835500,835500,835500,835500,836000,835500,836000,836000,836071.4286,836160.7143,836250
Euro area,EMU,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,2235400,,,,2478000,2449000,2316000,2329000,2232000,2229000,2525100,2468750,2334160,2276100,2184770,1995300,1975800,1987000,1894200,1847512,1867262,1793262,1776262,1772362,1621989,1657693,1585030,1555700,1538200,1512750,1498030,1499000,1463000,1467860,1463000,1456000,1441170,1431475.357,1421780.714
Eritrea,ERI,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55000,55000,55000,55000,46000,47100,200000,200000,171900,172200,202000,201000,202000,,202000,202000,201750,201750,201750,201750,201750,201750,201750,201750,202000,201750,202000,202000,202035.7143,202080.3571,202125
Spain,ESP,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,320000,,,,277000,263000,246000,198000,204000,213000,281600,282300,273250,269710,262260,241800,214700,251200,224000,220000,220000,222000,222000,223000,222422,223216,215700,215600,213950,200000,199950,197950,196000,196350,199000,199000,197392.8571,197160.7143,196928.5714
Estonia,EST,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,5000,4000,5500,5500,6300,7140,7600,7600,7300,8100,8100,6000,8000,7000,7000,7000,5450,5750,5750,5750,5750,5750,6400,6400,6000,6700,7000,7000,7214.285714,7401.785714,7589.285714
Ethiopia,ETH,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,217000,,,,250000,250000,120000,120000,120000,120000,120000,120000,120000,120000,325500,352500,252500,252500,162400,182000,183000,,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000
European Union,EUU,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,3093700,,,,3387000,3207000,3109000,3046000,3013000,3012000,3557200,3471450,3304110,3227500,3086780,2862000,2691900,2647500,2536700,2392112,2412862,2294862,2257862,2254962,2069093,2101107,2004680,2025550,2005400,1995100,1979130,1967550,1919000,1919805,1910000,1913000,1881611.429,1866171.964,1850732.5
Fragile and conflict affected situations,FCS,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,2439550,,,,2660000,3182000,2137000,2385000,2409000,2288000,3423350,3477650,3438200,3479200,3669300,3689800,3210100,3394150,3385800,2738500,2859250,,3007250,3270250,3531285,3789265,3782630,3803730,2992200,3224850,3315400,3266830,3283000,3401400,3456000,3292000,3408100,3430143.571,3452187.143
Finland,FIN,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,36500,,,,39000,31000,32000,33000,31000,35000,34500,36000,34400,35100,35100,35100,35400,34900,30100,31000,31000,32000,32000,32000,25050,24975,25000,25000,25000,25000,24900,24200,25000,25200,27000,22000,24214.28571,24078.57143,23942.85714
Fiji,FJI,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,2700,,,,4000,5000,5000,5000,5000,4000,3900,3600,3600,3500,3500,3500,3500,3500,3500,3000,4000,4000,4000,4000,3500,3500,3500,3500,3500,3500,3500,3500,4000,4040,4000,4000,4225.714286,4334.285714,4442.857143
France,FRA,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,464300,,,,554000,550000,542000,522000,506000,506000,502400,491300,473100,452200,411600,389400,374400,361800,360400,358000,359000,354000,353000,353000,341967,341967,332250,325600,318400,312350,306350,306100,307000,304800,304000,304000,301935.7143,300826.7857,299717.8571
Faroe Islands,FRO,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,2400,,,,10000,9000,10000,7000,7000,6000,9500,9500,9500,9500,9500,6700,6700,6700,6700,6000,7000,,7000,7000,6700,6700,6700,6700,6700,6700,6700,6700,7000,6700,7000,7000,7042.857143,7096.428571,7150
United Kingdom,GBR,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,334000,,,,318000,308000,301000,293000,271000,257000,233000,221000,218000,218000,218000,212500,211400,210400,212600,205000,217000,181000,160000,160000,178470,174020,165650,169150,159150,154700,152350,150250,148000,148450,149000,153000,148878.5714,148392.8571,147907.1429
Georgia,GEO,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25000,7000,14000,15000,39200,39200,32800,33400,28500,29200,29200,22000,23000,33000,33000,33000,32355,32355,32350,32350,32350,32350,26050,26050,26000,25650,26000,26000,24078.57143,23380.35714,22682.14286
Ghana,GHA,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,15100,,,,16000,9000,9000,7000,7000,7000,12800,14500,8000,8000,8000,8000,7000,7000,7000,7000,7000,,14000,14000,15500,15500,15500,15500,15500,15500,15500,15500,16000,15500,16000,16000,16071.42857,16160.71429,16250
Gibraltar,GIB,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,9900,,,,15000,15000,15000,15000,15000,12000,19300,19300,19300,19300,19300,19300,17300,19300,12300,11000,13000,,19000,19000,19300,19300,12300,12300,12300,12300,12300,12300,13000,12700,13000,13000,13214.28571,13353.57143,13492.85714
"Gambia, The",GMB,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,480,,,,2000,2000,2000,1000,1000,1000,800,800,800,800,800,800,800,800,800,800,800,,1000,1000,800,800,800,800,800,800,800,800,1000,4000,4000,4000,4942.857143,5628.571429,6314.285714
Guinea-Bissau,GNB,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,8550,,,,10000,12000,12000,11000,11000,7000,9200,9300,9250,9250,9300,9300,11300,11300,14200,9000,9000,9000,9000,6000,6458,6458,6450,6450,6450,6450,4450,4450,4000,4450,4000,4000,3364.285714,3069.642857,2775
Equatorial Guinea,GNQ,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,2200,,,,1000,1000,1000,1000,1000,1000,1600,1600,1620,1600,1600,1600,1600,2300,1300,1000,1000,,1000,1000,1320,1320,1320,1320,1320,1320,1320,1450,1000,1450,1000,1000,991.4285714,934.2857143,877.1428571
Greece,GRC,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,201500,,,,201000,201000,205000,208000,213000,206000,201800,198800,166300,172500,169600,163200,163200,181600,181600,167000,168000,161000,161000,161000,142936,149647,148350,147350,148950,146950,146950,145350,146000,147850,147000,147000,147121.4286,147219.6429,147317.8571
Grenada,GRD,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,GRL,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,31700,,,,43000,43000,43000,44000,44000,34000,56500,56500,50500,41200,40900,52900,50400,50400,50400,48000,48000,35000,35000,35000,34212,34212,42300,42300,42300,43050,43050,43050,43000,43050,43000,43000,42992.85714,42983.92857,42975
Guam,GUM,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,6600,,,,4000,4000,4000,2000,2000,2000,3100,3100,3100,3100,3100,3100,3100,3100,3100,2000,3000,3000,3000,3000,2600,2600,1100,1100,1100,3400,3400,3400,3000,3400,3000,3000,2942.857143,2871.428571,2800
High income,HIC,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,7451600,,,,7904000,7732000,7719000,7402000,7370000,7219000,7574400,7426840,7338150,7323080,7183130,6843000,6619400,6594500,6462700,6269322,6545872,6188632,6209982,6192442,6049596,6080226,5939866,5938670,5863240,5704290,5662220,5684730,5521000,5490435,5498000,5500000,5417867.143,5377309.821,5336752.5
"Hong Kong SAR, China",HKG,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,HND,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,16600,,,,19000,18000,17000,17000,17000,17000,24300,24300,24300,14300,14300,14300,14300,14300,18000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,18700,18700,22700,23000,22950,23000,23000,24828.57143,25605.35714,26382.14286
Heavily indebted poor countries (HIPC),HPC,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,793330,,,,1008000,1020000,853000,821000,859000,799000,1569850,1599650,1599300,1575950,1754750,1816000,1251200,1376550,1317400,1183800,1213800,,1237000,1283000,1453713,1486138,1628750,1644050,1631670,1634820,1638270,1526100,1506000,1491900,1605000,1411000,1434412.857,1406834.286,1379255.714
Croatia,HRV,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103000,80000,70000,150000,104700,98000,96180,101000,101000,68300,61000,30800,30000,31000,21000,21000,22000,21600,21600,21600,19550,19550,19550,18550,18550,18000,18200,18000,20000,18678.57143,18675,18671.42857
Haiti,HTI,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,6900,,,,9000,8000,8000,8000,8000,,7000,7000,5500,5300,5300,5300,8300,5300,5300,,,5400,,,,0,50,50,120,120,120,200,0,500,1000,1000,1091.428571,1259.285714,1427.142857
Hungary,HUN,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,106000,,,,109000,94000,87000,78000,65000,60000,73000,78100,74100,70800,65000,57800,47800,47400,47400,46000,44000,44000,37000,37000,41626,34587,38500,38500,38500,38500,38500,39800,40000,39800,40000,46000,44014.28571,44925,45835.71429
IBRD only,IBD,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,12123500,,,,13087000,12458000,11352000,13654000,12951000,12763000,17650800,17719020,17368720,17440330,17022480,17081700,16601800,16405600,16377200,15579510,16705310,16436070,15679420,15891250,16149767,16133742,16184483,16358994,15580053,15869910,15956380,16006210,16115000,16377110,16246000,16356000,16476431.43,16562446.07,16648460.71
IDA & IBRD total,IBT,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,14421530,,,,15756000,15265000,14149000,16433000,15768000,15403000,22169100,22337620,22045220,22109780,21885580,21968500,20889300,20954150,20905100,19955560,21096110,19858220,20081420,20340250,20807338,20988738,21008063,21198474,20382153,20649760,20827630,20837140,20860000,21129550,21141000,20870000,21127850,21184273.93,21240697.86
IDA total,IDA,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,2298030,,,,2669000,2807000,2797000,2779000,2817000,2640000,4518300,4618600,4676500,4669450,4863100,4886800,4287500,4548550,4527900,4376050,4390800,,4402000,4449000,4657571,4854996,4823580,4839480,4802100,4779850,4871250,4830930,4745000,4752440,4895000,4514000,4651418.571,4621827.857,4592237.143
IDA blend,IDB,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,661100,,,,744000,751000,767000,800000,797000,776000,1122950,1109650,1163150,1177050,1188100,1220800,1283000,1280700,1273400,1278000,1296000,1231000,1294000,1294000,1294152,1319252,1300130,1300830,1300830,1278830,1327030,1328730,1346000,1373340,1359000,1366000,1392712.857,1405929.286,1419145.714
Indonesia,IDN,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,278100,,,,285000,283000,278000,283000,271000,280000,460500,485200,484000,499000,499000,492000,492000,492000,497000,582000,582000,582000,582000,582000,582000,582000,676500,676500,676500,676500,675500,675500,676000,675500,676000,676000,675785.7143,675767.8571,675750
IDA only,IDX,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,1636930,,,,1925000,2056000,2030000,1979000,2020000,1864000,3395350,3508950,3513350,3492400,3675000,3666000,3004500,3267850,3254500,3098050,3094800,,3108000,3155000,3363419,3535744,3523450,3538650,3501270,3501020,3544220,3502200,3399000,3379100,3536000,3148000,3258705.714,3215898.571,3173091.429
Isle of Man,IMN,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,1260000,,,,1260000,1260000,1270000,1270000,1270000,1270000,2149500,2223000,2233000,2265000,2263000,2372000,2352700,2387700,2414700,2617000,3047000,2589000,2576000,2582000,2625586,2625586,2647150,2728700,2749700,2749700,2798800,2981050,3031000,3026500,3045000,3068000,3170400,3223712.5,3277025
Not classified,INX,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,13700,,,,13000,13000,13000,13000,13000,17000,12900,12700,12700,11500,11500,11500,10500,10500,10400,10000,10000,10000,10000,10000,10460,10460,8900,9350,9350,9100,9100,9100,9000,8650,9000,9000,8857.142857,8823.214286,8789.285714
Iran,IRN,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,610000,,,,604000,440000,465000,528000,528000,528000,763000,863000,868000,820000,785600,753000,553000,560000,580000,460000,585000,585000,563000,563000,563000,563000,563000,563000,563000,563000,563000,563000,563000,650000,650000,650000,674857.1429,693500,712142.8571
Iraq,IRQ,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,,,,1000000,1390000,475000,407000,407000,425000,407300,432500,442900,479000,479000,479000,467000,432000,432000,179000,227000,495000,362000,577000,659395,802400,802400,802400,177600,209000,209000,209000,209000,336000,341000,459000,444714.2857,485464.2857,526214.2857
Iceland,ISL,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,120,120,100,100,100,100,100,,,130,130,130,130,130,180,180,200,200,250,250,0,,0,0,-74.8447205,-120.8074534,-166.7701863
Israel,ISR,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,142000,,,,191000,190000,190000,181000,181000,185000,178100,181100,181050,181050,179550,180500,171500,169500,175000,176000,176000,185000,185000,185000,184550,184550,184550,184500,184500,184500,184500,184500,178000,177500,178000,178000,175071.4286,173660.7143,172250
Italy,ITA,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,385100,,,,506000,493000,473000,471000,450000,436000,585000,580900,580900,554100,521200,503100,482600,471100,454300,445000,445000,440000,436000,436000,326939,359378,367550,359500,359500,356850,356850,356850,347000,341500,342000,338000,333921.4286,330292.8571,326664.2857
Jamaica,JAM,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,2100,,,,3000,3000,3000,3000,3000,3000,3500,3500,3470,3470,3020,3000,3000,3000,3000,2000,3000,3000,3000,3000,2830,2830,2830,2830,2830,3450,3450,3950,4000,5950,6000,6000,6792.857143,7319.642857,7846.428571
Jordan,JOR,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,70300,,,,190000,100000,100000,100000,100000,100000,128600,128700,134050,134050,134000,148900,110200,110200,110500,110000,111000,111000,111000,111000,110500,110500,110500,115500,115500,115500,115500,115500,116000,101500,116000,116000,112071.4286,111660.7143,111250
Japan,JPN,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,243000,,,,247000,250000,250000,242000,242000,233000,251500,247500,247600,254600,254600,248700,252100,252100,252100,251000,272000,252000,242000,242000,260382,260382,260086,259800,259800,259800,259800,260890,261000,261150,261000,261000,261557.1429,261780.7143,262004.2857
Kazakhstan,KAZ,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000,18000,74500,74500,69600,89600,100300,98500,98500,94500,100300,99000,101000,81000,81000,81000,80500,80500,70500,70500,70500,70500,70500,70500,71000,71000,71000,71000,71214.28571,71321.42857,71428.57143
Kenya,KEN,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,13700,,,,20000,20000,20000,24000,24000,22000,29200,29200,29200,29200,29200,27200,29400,29400,29100,29000,29000,,29000,29000,29120,29120,29100,29100,29100,29100,29100,29100,29000,29100,29000,24000,26128.57143,25575,25021.42857
Kyrgyzstan,KGZ,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12000,12000,13000,7000,12000,14200,14200,12200,14000,14000,15900,15900,17000,18000,21000,21000,21000,20400,20400,20400,20400,20400,20400,20400,20400,21000,20900,21000,21000,21228.57143,21353.57143,21478.57143
Cambodia,KHM,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,35000,,,,99000,112000,112000,135000,102000,70000,308500,307700,360500,359000,359000,360000,207000,192000,192000,192000,191000,191000,191000,191000,191300,191300,191300,191300,191300,191300,191300,191300,191000,191300,191000,191000,190957.1429,190903.5714,190850
Kiribati,KIR,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,KNA,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Republic of",KOR,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,598000,,,,647000,650000,750000,750000,750000,750000,641000,668000,676500,676500,676500,687500,687500,690500,690500,696000,693000,692000,692000,692000,659500,659500,659500,659500,659500,632500,634500,634000,634000,608000,613000,569000,580785.7143,571517.8571,562250
Kuwait,KWT,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,12000,,,,20000,7000,10000,12000,12000,15000,21600,20800,20300,20300,20300,20300,20500,22100,22100,21000,23000,23000,23000,23000,22600,22600,22600,22600,22600,22600,22600,22600,25000,24500,25000,25000,25885.71429,26382.14286,26878.57143
Latin America & Caribbean (excluding high income),LAC,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,1153200,,,,1376000,1375000,1357000,1236000,1236000,1170000,1853300,1884000,1871730,1846980,1823450,1848500,1837500,1846300,1873100,1838270,1834270,2162800,2149400,2134400,2180263,2180263,2184607,2205624,2218803,2200510,2226110,2230690,2234000,2281540,2262000,2222000,2263421.429,2270103.571,2276785.714
Lao PDR,LAO,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,53700,,,,56000,55000,53000,37000,37000,45000,137000,137000,129000,129100,129100,129100,129100,129100,129100,129000,129000,129000,129000,129000,129100,129100,129100,129100,129100,129100,129100,129100,129000,129100,129000,129000,128985.7143,128967.8571,128950
Lebanon,LBN,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,17400,,,,18000,36000,36000,37000,37000,50000,62800,67400,73600,68100,80900,76600,84800,84800,85100,85000,85000,76000,76000,76000,79100,79100,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000
Liberia,LBR,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,6800,,,,7000,8000,5000,2000,,,21000,22000,22000,14000,5300,15000,15000,15000,15000,,15000,2000,2000,2000,2040,2040,2050,2050,2050,2050,2050,2050,2000,2100,2000,2000,2007.142857,2000,1992.857143
Libya,LBY,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,73000,,,,86000,86000,86000,85000,85000,80000,80500,65500,65500,65500,65500,76500,76500,76500,76500,76000,76000,76000,76000,76000,76000,,,7000,7000,0,,,,,,0,0,0,0
St. Lucia,LCA,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,LCN,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,1357400,,,,1593000,1587000,1563000,1443000,1443000,1387000,2114500,2136220,2127990,2102720,2077880,2095000,2111400,2113000,2136700,2066830,2076830,2285440,2413940,2399300,2444776,2444776,2447597,2470964,2484593,2621950,2657600,2682630,2756000,2804200,2788000,2740000,2826700,2853004.286,2879308.571
Least developed countries: UN classification,LDC,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,1158130,,,,1491000,1667000,1597000,1513000,1554000,1478000,2654650,2746750,2885850,2874400,3069400,3081500,2449800,2642850,2651400,2473050,2502800,,2504000,2553000,2750301,2941176,3155380,3170580,3133200,3004450,3008550,2892530,2843000,2805250,2843000,2562000,2601864.286,2539516.786,2477169.286
Low income,LIC,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,1856630,,,,2207000,2498000,2335000,2256000,2193000,2071000,3110050,3102850,3112400,3090200,3267000,3346600,2802600,2940950,2885400,2766800,2789800,,2772000,2820000,3075723,3266598,3260600,3275800,3238350,3212100,3212050,3215800,3142000,3116050,3165000,2934000,2995550,2958830.357,2922110.714
Liechtenstein,LIE,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,LKA,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,21600,,,,22000,22000,110000,110000,110000,110000,235500,225200,227200,225200,218300,203600,209600,246500,240900,239000,200000,213000,213000,213000,223100,223100,223100,223100,223100,223100,265200,305200,317000,317000,317000,317000,351228.5714,365410.7143,379592.8571
Lower middle income,LMC,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,5278800,,,,5913000,5465000,5678000,6009000,5957000,5720000,8326750,8536850,8722950,8685600,8681400,8690600,8541900,8682600,8770600,8202250,9252000,8674400,8811000,8817000,8918959,8905509,8904080,8991330,8919350,8991550,9184100,9448280,9480000,9580200,9724000,9595000,9860742.857,9968673.929,10076605
Low & middle income,LMY,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,14708630,,,,16319000,16111000,14934000,17056000,16296000,15901000,22527800,22690800,22446070,22524580,22322010,22431100,21487000,21607150,21593400,20729820,21911570,20841050,20928900,21185900,21759500,21938745,21965213,22100704,21228383,21340340,21510060,21584620,21550000,21811880,21830000,21563000,21817860,21872685.71,21927511.43
Lesotho,LSO,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
Late-demographic dividend,LTE,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,7537800,,,,8362000,7793000,7619000,9382000,8801000,8535000,11511800,11152720,10812980,10860110,10592070,10592700,10435600,10281000,10247400,9814930,10288480,10121240,9431590,9421730,9598337,9562730,9531808,9609744,9527790,9576830,9699100,9681800,9684000,9723460,9557000,9498000,9563022.857,9545914.643,9528806.429
Lithuania,LTU,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,10000,10000,8900,9900,10050,15030,16030,16600,17200,27300,27300,28000,29000,24000,24000,24000,25240,25240,23350,23350,21950,27400,28330,29650,34000,39550,37000,37000,41281.42857,43282.85714,45284.28571
Luxembourg,LUX,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,700,,,,1000,1000,1000,1000,1000,1000,1400,1400,1360,1360,1400,1400,1500,1500,1500,1512,1512,1512,1512,1612,1512,1512,1510,1510,1510,1510,1500,1500,2000,1900,1000,1000,1182.857143,1106.785714,1030.714286
