Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Estimates Start After
Hong Kong SAR,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",28.862,31.055,32.291,29.907,33.511,35.7,41.076,50.623,59.708,68.79,76.929,88.96,104.272,120.354,135.812,144.652,159.718,177.349,168.858,165.734,171.643,169.381,166.336,161.37,169.085,181.556,193.515,211.583,219.279,214.048,228.639,248.514,262.629,275.697,291.46,309.386,320.84,341.242,361.692,365.708,349.445,2020
Iceland,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.434,3.544,3.253,2.795,2.894,3.012,4.017,5.566,6.149,5.705,6.51,6.955,7.112,6.232,6.399,7.131,7.48,7.57,8.504,8.982,9.026,8.235,9.318,11.429,13.825,16.853,17.465,21.653,18.075,13.154,13.751,15.222,14.752,16.125,17.868,17.517,20.793,24.728,26.224,24.837,21.715,2018
Ireland,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",21.38,20.38,21.268,20.575,19.842,21.123,28.456,33.589,36.797,37.95,48.098,48.738,54.796,51.256,55.725,69.114,75.768,82.783,90.421,99.009,100.136,109.319,128.535,164.488,194.556,211.941,232.257,270.296,275.894,236.871,222.723,237.905,225.185,238.264,258.889,292.037,299.145,337.545,386.689,398.379,418.716,2019
Israel,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",23.927,25.352,27.171,30.303,28.687,26.663,32.824,39.205,48.565,49.414,58.309,66.144,73.911,74.285,84.797,100.735,110.43,114.979,116.209,117.373,132.704,131.058,121.411,127.329,135.729,142.661,154.157,179.069,216.338,207.498,234,261.014,257.173,292.693,310.048,300.123,318.617,352.668,370.456,394.652,402.639,2020
Italy,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",482.019,437.124,432.001,448.304,442.925,457.397,647.819,813.082,900.829,936.906,"1,169.29","1,235.14","1,310.66","1,053.94","1,087.07","1,175.28","1,312.78","1,243.23","1,271.70","1,253.69","1,147.18","1,168.03","1,275.87","1,577.23","1,805.72","1,859.24","1,949.66","2,213.37","2,408.39","2,197.54","2,137.85","2,294.59","2,088.28","2,141.95","2,162.57","1,836.82","1,876.55","1,961.11","2,093.09","2,005.14","1,884.94",2020
Japan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,127.88","1,243.79","1,157.60","1,268.62","1,345.20","1,427.35","2,121.25","2,584.34","3,134.18","3,117.07","3,196.56","3,657.35","3,988.33","4,544.77","4,998.80","5,545.57","4,923.39","4,492.45","4,098.36","4,635.98","4,968.36","4,374.71","4,182.85","4,519.56","4,893.14","4,831.47","4,601.66","4,579.75","5,106.68","5,289.49","5,759.07","6,233.15","6,272.36","5,212.33","4,897.00","4,444.93","5,003.68","4,930.84","5,036.89","5,148.78","5,048.69",2020
Korea,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",65.368,72.934,78.349,87.761,97.511,101.296,116.836,147.949,199.593,246.929,283.365,330.658,355.516,392.731,463.432,566.595,610.164,570.594,382.855,497.254,576.483,547.743,626.989,702.696,792.532,934.708,"1,052.61","1,172.47","1,049.17",943.739,"1,143.57","1,253.42","1,278.05","1,370.63","1,484.49","1,466.04","1,499.36","1,623.07","1,725.37","1,646.74","1,630.87",2020
Latvia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.693,2.727,4.53,5.407,5.969,6.523,7.162,7.527,7.953,8.352,9.552,11.754,14.406,16.986,21.536,31.05,35.924,26.386,23.911,28.649,28.346,30.442,31.379,27.253,28.064,30.448,34.432,34.059,33.478,2020
Lithuania,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.696,8.383,10.119,11.24,10.972,11.525,12.238,14.257,18.782,22.624,26.115,30.203,39.764,48.03,37.475,37.195,43.584,42.952,46.537,48.611,41.44,43.035,47.742,53.747,54.633,55.688,2020
Luxembourg,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",6.46,5.572,4.575,4.491,4.403,4.562,6.638,8.244,9.339,9.944,12.68,13.738,15.39,15.778,17.558,20.655,20.548,18.503,19.342,21.174,21.326,21.291,23.712,29.615,34.733,37.382,42.452,50.959,56.072,51.518,53.308,60.073,56.711,61.758,66.209,57.774,60.716,64.159,70.952,71.113,73.205,2020
