,country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Labour force participation (female/male pop. %),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population)_x,Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)","Population age distribution (0-14 / 60+ years, %)",International migrant stock (000/% of total pop.),Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Education: Primary gross enrol. ratio (f/m per 100 pop.),Education: Secondary gross enrol. ratio (f/m per 100 pop.),Education: Tertiary gross enrol. ratio (f/m per 100 pop.),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Mobile-cellular subscriptions (per 100 inhabitants).1,Individuals using the Internet (per 100 inhabitants),Threatened species (number),Forested area (% of land area),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),"Pop. using improved drinking water (urban/rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Net Official Development Assist. received (% of GNI),Quality Of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living,Property price to income ratio,Traffic commute time index,Pollution index,Climate index,Gross Rental Yield City Center,Gross Rental Yield Outside Center,Property Price to Rent Ratio City Center,Property Price to Rent Ratio Outside Center,Mortgate as percentage of income,Affordability Index,Cost Of Living Index,Rent Index,Cost Of Living Plus Rent Index,Grocery Index,Restaurant Price Index,Local Purchasing Power Index,Access to electricity (% of population),Adjusted net national income per capita (constant 2010 US$),Age dependency ratio (% of working-age population),"Air transport, freight (million ton-km)","Air transport, passengers carried",Commercial service exports (current US$),Commercial service imports (current US$),Consumer price index (2010 = 100),Current account balance (% of GDP),Current health expenditure (% of GDP),Exports of goods and services (% of GDP),Gross domestic savings (% of GDP),High-technology exports (current US$),Human capital index (HCI) (scale 0-1),Imports of goods and services (% of GDP),"Inflation, consumer prices (annual %)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Military expenditure (% of GDP),"Population, female","Population, male",Tax revenue (% of GDP),"Taxes on income, profits and capital gains (% of revenue)",Urban population (% of total population)_y
10,"China, Hong Kong SAR",EasternAsia,1106,7365,7014.2,85.1,309236,2.4,42431,0.1,7.2,92.7,0.2,14.9,84.9,3.5,52.6/67.8,34,34,516588,547124,-30536,10101,0.6,100,0.7,1.2,11.5/23.5,2838.7/38.9,2.5,1.6,-99,-99,3.3,-99,98.8/102.8,73.7/63.5,-99,228.8,84.9,64,-99,46.2/6.4,-99,83,-99,-99,-99,-99,94.45,81.45,79.32,67.99,79.96,36.15,42.22,69.9,29.73,2.25,2.23,44.35,44.81,224.85,0.44,79.96,84.08,81.93,81.88,54.87,81.45,100,,38.46903456,12415.19932,45580297,1.04E+11,77558692271,127.7681573,4.577682531,,188.918524,23.08011931,2.93614E+11,0.822,187.9093053,1.480582524,87.6,81.9,84.6804878,,3978989,3412711,,,100
11,China,EasternAsia,9600000,1409517,150.1,106.3,11158457,6.9,8109.1,9.2,41.1,49.7,27,23.9,49.1,4.6,63.0/77.7,132,133,2118981,1588696,530285,330602,0.5,55.6,3,1.6,17.7/16.2,978.0/0.1,301.7,11.6,5.5,1.5,-99,104.3/104.0,95.6/93.2,47.3/39.9,23.7,93.2,50.3,1080,22,10291.9/7.5,101394,87,97.5/93.0,86.6/63.7,0,-99,90.95,67.84,66.1,62.25,44.76,23.29,43.87,88.96,38.7,2.23,2.74,44.83,36.49,189.71,0.53,44.76,18.67,32.26,47.74,29.68,67.84,100,5480.724341,39.43594557,23323.6147,551234509,2.11364E+11,4.6854E+11,119.0880516,1.584973123,5.151193216,19.69227814,45.13238836,6.54188E+11,0.673,17.9401373,1.593137255,78.828,74.315,76.47,1.896510407,674707818,711687182,9.419318202,19.10206512,57.96
12,Colombia,SouthAmerica,1141748,49066,44.2,96.8,292080,3.1,6056.1,6.8,34,59.2,13.5,16.6,69.9,10.5,58.0/79.8,114,115,31045,44831,-13786,-18922,1,76.4,1.7,1.9,23.5/11.6,133.1/0.3,7127,17.9,7.2,...,4.5,111.6/115.4,101.5/94.8,59.9/51.5,18.7,115.7,55.9,835,52.8,84.1/1.8,5380,31,96.8/73.8,85.2/67.9,0.47,-99,115.38,37.63,48.31,65.79,34.45,19.43,43.77,63.9,81.34,4.25,4.3,23.52,23.28,283.62,0.35,34.45,10.69,23.06,28.76,24.97,37.63,98.5,5988.754235,46.53303066,1273.568638,32504898,8305703415,12298296662,131.8772691,-3.283557052,7.226280868,15.14528975,16.6070414,694848478,0.593,20.13762519,4.312141032,79.694,74.124,76.925,3.186272628,24915291,23985775,14.65891558,23.34419103,80.446
13,Croatia,SouthernEurope,56594,4189,74.9,93.1,48676,1.6,11479.4,4.1,26.6,69.3,9.2,26.8,64,11.7,46.3/58.4,91,91,13648,21830,-8182,2492,-0.4,59,0.1,1.5,14.7/26.8,576.9/13.6,15.5,3.9,7.8,3.1,4.6,98.1/97.8,100.6/95.9,79.8/58.8,19.9,103.8,69.8,176,34.3,16.8/4.0,182,79,99.6/99.7,97.8/95.8,...,-99,170.63,60.71,72.2,65.49,48,10.91,28.45,33.34,82.02,3.31,3.69,30.24,27.07,89.21,1.12,48,10.09,29.83,39.91,37.53,60.71,100,13047.46428,52.57957236,0.58275,2057804,14773948041,4624578000,107.3639943,3.801067774,6.789133698,50.02892808,22.38951384,923411397,0.723,49.40915765,1.129372103,80.9,74.9,77.82682927,1.425587349,2139934,1984597,21.56277311,7.283421667,56.667
14,Cyprus,WesternAsia,9251,1180,127.7,100.2,19561,1.7,21941.9,2.3,10.6,87.2,4.1,16.7,79.2,10.3,57.8/70.4,80,80,1920,6604,-4684,-576,0.9,66.9,0.9,1.4,16.8/18.5,196.2/16.8,16.2,4.2,7.4,2.5,6.1,99.3/99.3,99.4/100.1,69.4/51.1,17.9,95.4,71.7,72,18.7,6.1/5.2,5,72,100.0/100.0,100.0/100.0,-99,-99,166.64,95.92,67.54,54.23,54.07,5.21,20.32,54.77,71.01,4.9,5.14,20.42,19.45,39.85,2.51,54.07,12.28,34.04,44.06,58.05,95.92,100,26093.20402,43.37320112,0.340319502,711554,13326017977,7831409650,100.8078868,-5.003863844,6.684569269,73.01529923,19.54364976,57707767,0.751,73.38954144,0.531766496,82.794,78.547,80.672,1.62751716,589132,590548,24.16653426,23.3485116,66.836
15,Czechia,EasternEurope,78868,10618,137.5,96.7,185156,4.5,17561.7,2.5,37.8,59.7,2.5,37,60.5,3.9,51.3/67.8,102,102,161248,140316,20932,1683,0.1,73,0.3,1.5,15.4/25.6,405.1/3.8,6,2.5,7.4,3.7,4.1,99.9/99.6,106.1/105.1,76.3/54.2,20,129.2,81.3,53,34.5,96.5/9.2,1221,164,100.0/100.0,99.1/99.2,-99,-99,165.41,76.22,69.82,74.09,41.22,10.7,31.98,41.04,65.32,4.17,4.61,24.01,21.71,65.37,1.53,41.22,14.83,28.57,35.84,27.99,76.22,100,16801.71647,52.39739062,27.81465,5450671,27307594297,21801376860,110.8672281,1.457993907,7.231339067,79.7260775,33.39623206,29543508515,0.782,72.20279807,2.450533985,82,76.1,78.97804878,0.96908579,5385332,5209106,14.87735838,15.20052765,73.675
16,Denmark,NorthernEurope,42921,5734,135.1,99,301308,1.6,53149.3,1.2,22.9,75.8,2.4,19.2,78.4,6,58.1/66.0,105,105,94355,85133,9222,27582,0.5,87.7,0.6,1.7,16.5/25.3,572.5/10.1,48.2,3.5,10.8,3.6,8.6,100.7/102.3,133.4/128.3,96.3/69.7,37.4,128.3,96.3,47,14.4,33.5/5.9,666,119,100.0/100.0,99.6/99.6,-99,-99,184.92,98.76,78.87,75.45,83.02,8.2,28.42,25.97,64.24,4.71,4.82,21.21,20.76,52.39,1.91,83.02,35.02,60.01,63.84,101.01,98.76,100,53704.95939,56.61999565,,,69657202240,62995124118,108.6331578,7.796589863,10.10827944,55.13886639,28.84533925,8937322533,0.774,48.14223538,1.14713217,83.1,79.2,81.10243902,1.146016169,2897965,2867015,33.67095982,45.21832513,87.757
17,Egypt,NorthernAfrica,1002000,97553,98,102.3,315917,4.2,3452.3,11.2,36.3,52.5,25.4,25.3,49.3,11.5,23.1/76.2,120,122,22507,58053,-35545,-16786,2.2,43.1,1.7,3.4,33.5/7.9,491.6/0.5,256.5,18.9,5.6,0.8,...,103.8/104.1,85.9/86.3,35.6/36.9,14.9,111,35.9,156,0.1,201.9/2.2,3509,36,100.0/99.0,96.8/93.1,0.78,-99,91.81,29.39,47.14,43.73,22.36,10.66,48.84,88.88,75.59,7.18,7.74,13.93,12.93,138.09,0.72,22.36,5.03,14.05,19.01,18.56,29.39,100,2524.475991,63.83631303,403.828739,11748510,18612600000,16081600000,231.0941154,-3.373297094,5.287636817,15.8184438,1.783861671,73845751,0.486,29.30835735,29.50660839,73.967,69.453,71.656,1.422609271,47706816,48735777,,,42.705
18,Estonia,NorthernEurope,45227,1310,30.9,88.2,22460,1.4,17112,3.4,27.4,69.2,3.8,29,67.3,7.2,55.4/69.4,136,136,13952,15759,-1807,493,-0.3,67.5,-0.4,1.6,16.4/25.9,202.3/15.4,84.2,3.2,6.4,3.3,5.5,98.5/98.3,114.7/115.6,84.8/55.4,26.7,148.7,88.4,23,52.7,19.5/14.8,242,193,100.0/99.0,97.5/96.6,-99,-99,171.09,68.48,77,71.3,49.5,10.54,26.71,17.71,44.56,4.11,3.95,24.33,25.3,68.75,1.45,49.5,13.98,32.47,36.74,46.76,68.48,100,16294.78517,55.12316147,,13103,6839243919,4752130177,115.4553248,2.693139279,6.429357827,76.13768653,29.83552343,1844023020,0.747,71.85742861,3.417235495,82.6,73.8,78.09268293,2.028362263,698154,619230,20.99271074,19.87643845,68.717
19,Finland,NorthernEurope,338440,5523,18.2,97.2,231960,0.2,42148.1,2.5,26.8,70.6,4.2,22,73.8,8.9,54.5/61.7,101,101,57326,60502,-3176,-979,0.4,84.2,0.5,1.8,16.4/27.8,315.9/5.7,32.6,2.3,9.7,3,7.2,101.4/101.7,156.3/142.8,95.6/79.3,42,135.5,92.7,36,73.1,47.3/8.6,757,257,100.0/100.0,99.4/88.0,-99,-99,182.93,114.97,75.37,74.85,73.06,7.6,34.92,13.38,35.83,3.74,4.6,26.72,21.76,44.51,2.25,73.06,26.95,50.96,61.47,76.43,114.97,100,39458.5092,60.07661757,852.01263,12209646,29913728719,31453244990,110.0007799,-0.684971968,9.206938744,37.67558943,23.95805402,4405114576,0.814,37.56090438,0.754015047,84.5,78.9,81.63170732,1.365689345,2794857,2713357,20.77659202,15.95814025,85.325
20,France,WesternEurope,551500,64980,118.7,96.7,2418946,1.3,36304.2,1.7,19.5,78.8,2.7,20.5,76.8,9.8,50.3/59.4,103,103,488885,560555,-71670,-4861,0.4,79.5,0.8,2,18.1/25.7,7784.4/12.1,356.2,3.4,11.5,3.2,5.5,105.0/105.7,111.2/110.1,71.0/57.9,25.8,102.6,84.7,278,30.8,303.3/4.7,5694,158,100.0/100.0,98.6/98.9,-99,-99,160.25,87.29,56.34,78.62,74.89,11.58,35.81,40.15,73.91,3,3.67,33.29,27.22,73.86,1.35,74.89,24.83,50.9,69.54,72.89,87.29,100,36547.87958,60.71698782,4260.597,68316473,2.71067E+11,2.4903E+11,106.864453,-0.634662879,11.31289229,30.94863319,22.37160909,1.09359E+11,0.765,32.01321411,1.032282751,85.7,79.6,82.57560976,2.349678514,34480922,32383457,23.61988854,25.66619943,80.18
21,Germany,WesternEurope,357376,82114,235.6,97,3363600,1.7,41686.2,0.6,30.5,68.9,1.4,27.5,71.2,4.2,54.5/66.1,111,111,1340752,1060672,280080,279969,0.2,75.3,0.2,1.4,13.1/28.0,12005.7/14.9,1052.1,3.4,11.3,4.1,5,104.7/105.2,99.6/105.6,66.8/69.7,37,116.7,87.6,116,32.7,719.9/8.9,5004,158,100.0/100.0,99.3/99.0,-99,-99,189.74,124.88,67.97,76.74,65.5,7.46,30.55,27.05,57.97,3.75,4.09,26.68,24.47,45.91,2.18,65.5,25.35,46.26,50.09,62.62,124.88,100,40038.34518,53.42641775,7901.652344,114160685,3.15403E+11,3.45731E+11,109.3524635,7.835054377,11.2468347,47.3974342,27.84859121,1.95752E+11,0.795,40.29596393,1.509496558,83.4,78.7,80.99268293,1.234141102,41919970,40737032,11.47196139,17.73552167,77.261
22,Greece,SouthernEurope,131957,11160,86.6,96.9,194860,-0.2,17788,4.1,15.7,80.2,12.9,15,72.1,23,44.1/60.1,86,87,27811,47595,-19784,218,-0.4,78,0.5,1.3,14.2/26.5,1242.5/11.3,94.7,3.3,8.1,6.3,...,97.1/98.1,103.4/109.5,113.7/114.0,18.3,114,66.8,374,31.2,67.3/6.1,368,89,100.0/100.0,99.2/98.1,-99,-99,148.32,58.24,59.68,53.92,55.87,8.33,31.6,52.05,87.25,4.14,4.2,24.15,23.8,62.48,1.6,55.87,10.2,33.98,44.95,54.62,58.24,100,19581.01081,55.28953157,23.525,13852857,38237102483,17510745541,101.0598733,-1.771218012,8.041390032,32.99039638,11.48976389,1384000150,0.681,34.01015863,1.121235477,83.9,78.8,81.28780488,2.519121405,5475485,5279194,25.97193693,18.76172382,78.724
23,Hungary,EasternEurope,93024,9722,107.4,90.7,121715,3.1,12350.6,4.1,31.9,64,4.3,29.8,65.9,4.5,46.6/62.4,99,99,103071,92044,11027,3946,-0.3,71.2,0.5,1.3,14.3/26.0,449.6/4.6,14.4,4.9,7.4,3.3,4.7,101.3/101.9,105.3/105.1,56.7/45.3,10.1,118.9,72.8,66,22.8,42.1/4.3,423,97,100.0/100.0,97.8/98.6,-99,-99,138.82,47.52,61.61,53.46,42.77,11.2,33.09,43.99,66.49,5.43,5.97,18.43,16.76,97.32,1.03,42.77,12.67,28.35,33.62,32.72,47.52,100,12430.28477,49.14270834,,26066294,26887572030,18639180669,114.4500172,2.312371897,6.879989803,87.14309621,30.13744405,16903987958,0.703,79.8541973,2.348242812,79.3,72.5,75.81707317,1.050167624,5133501,4654465,23.17753516,17.03022842,71.062
24,India,SouthernAsia,3287263,1339180,450.4,107.6,2116239,7.6,1614.2,17,29.7,53.2,44.3,24.5,31.2,3.4,27.0/79.1,143,142,260327,356705,-96378,-22457,1.2,32.7,2.4,2.4,27.8/9.4,5241.0/0.4,211.1,41.3,4.7,0.7,3.8,115.1/102.8,74.5/73.5,26.7/27.0,11.8,78.8,26,1052,23.7,2238.4/1.7,23103,27,97.1/92.6,62.6/28.5,0.16,-99,101.52,76.73,56.04,69.18,25.08,10.28,46.38,76.53,9.3,3.08,3.81,32.44,26.24,123.44,0.81,25.08,6.77,16.31,25.2,16.38,76.73,92.6,1724.843572,50.28963726,2407.098107,139752424,1.84673E+11,1.08736E+11,159.8294647,-1.438793396,3.534959629,18.78268517,30.23357635,15161028362,0.44,21.94012611,2.490886999,70.425,68,69.165,2.509624558,642787641,695871194,11.17992184,44.15729342,33.6
25,Indonesia,South-easternAsia,1910931,263991,145.7,101.4,861934,4.8,3346.5,14,41.3,44.7,31.4,22.4,46.2,5.8,51.0/83.7,139,140,144490,135653,8837,-17697,1.2,53.7,2.7,2.4,27.4/8.6,328.8/0.1,13.8,25,2.8,0.2,3.6,104.4/107.2,86.0/85.7,25.7/22.9,19.8,132.4,22,1281,50.6,464.2/1.8,19481,35,94.2/79.5,72.3/47.5,0,-99,62.02,27.61,50.32,64.8,41.11,21.03,49.44,76.41,9.62,4.67,4.94,21.41,20.26,247.68,0.4,41.11,11.66,26.99,45.8,20.29,27.61,98.14,3136.524418,48.36101889,1052.36048,108393123,24665052782,32591673212,142.1824123,-1.594656902,2.989054471,20.17730444,33.60385587,5974888118,0.535,19.17819264,3.80879807,73.515,69.156,71.282,0.804336713,131375660,133270226,9.87729308,38.81973265,54.659
26,Iran (Islamic Republic of),SouthernAsia,1628750,81163,49.8,101.2,398563,0.4,5038.1,8.6,39.1,52.3,16.6,32.5,50.9,11.3,16.3/73.2,106,107,45627,35333,10294,-99,1.2,73.4,2.1,1.7,23.7/8.8,2726.4/3.4,978.3,14.8,7.5,1.5,2.9,111.7/106.3,88.9/89.4,67.7/75.9,5.9,93.4,44.1,134,6.6,649.5/8.3,13291,127,97.7/92.1,92.8/82.3,0.02,-99,97.17,43.18,49.1,51.55,38.26,13.5,49.7,82.51,71.48,6.1,8.12,16.39,12.31,275.34,0.36,38.26,17.05,28.09,33.53,33.17,43.18,100,4523.723569,43.44433945,325.6687243,26858178.78,,,333.6733224,,8.659663796,24.94217685,38.94624957,278924957,0.591,23.8384608,8.044924377,77.436,75.217,76.271,3.105184169,39854933,40819018,,,74.394
27,Ireland,NorthernEurope,69797,4762,69.1,98.4,283716,26.3,60513.6,1,41.7,57.3,4.8,17.7,77.4,7.6,51.9/67.1,102,102,129315,76997,52318,28967,0.3,63.2,1.6,2,21.6/19.1,746.3/15.9,10.5,3.4,7.8,2.8,5.3,102.0/100.9,129.4/125.6,87.6/80.1,22.2,103.7,80.1,50,10.9,34.1/7.3,84,114,97.9/97.8,89.1/92.9,-99,-99,166.9,103.52,54.23,53.33,76.98,7.02,35.01,27.18,70.18,6.02,6.91,16.61,14.48,50.79,1.97,76.98,40.64,59.56,62.21,81.38,103.52,100,41859.25303,54.10677358,154.38504,153944513,1.82946E+11,2.31219E+11,105.079586,1.012198042,7.184383273,121.0425885,55.85137014,34827021587,0.806,98.95576009,0.340531561,84,80.4,82.15609756,0.310631929,2426140,2381248,18.27006597,40.6923291,62.947
28,Israel,WesternAsia,22072,8322,384.5,98.7,299413,2.5,37129.4,1.3,21.2,77.5,1,17.9,81,5.9,58.5/69.0,112,112,60571,65803,-5232,13642,1.6,92.1,1.4,3,27.9/16.1,2011.7/24.9,44.7,3.4,7.8,3.6,5.8,105.1/104.4,103.0/102.0,75.5/54.6,27.5,133.5,78.9,174,7.5,64.6/8.1,313,119,100.0/100.0,100.0/100.0,-99,-99,157.88,94.47,70.99,74.78,77.74,10.87,36.52,61.71,81.01,3.45,3.54,28.98,28.27,71.94,1.39,77.74,28.44,54.11,65.39,81.35,94.47,100,30793.64855,65.75526288,912.898,6993888,44080200000,28429900000,106.3806971,2.318986835,7.407464087,28.68432157,22.6665195,12057719000,0.763,27.52151542,0.244210526,84.6,80.6,82.55121951,4.43256389,4385803,4327497,24.57962331,34.29267868,92.336
29,Italy,SouthernEurope,302073,59360,201.8,95.1,1821580,0.7,30462.4,2.2,23.5,74.2,3.5,27.1,69.4,11.4,39.2/57.8,89,89,461529,404578,56951,29348,-0.1,69,0.4,1.4,13.5/29.4,5788.9/9.7,216.7,3,9.2,3.9,4.1,100.6/101.4,101.7/104.1,72.2/53.2,31,151.3,65.6,359,31.4,320.4/5.4,1539,103,100.0/100.0,99.5/99.6,-99,-99,142.52,71.83,55.34,66.31,83.7,12.39,36.38,51.57,82.6,2.69,3.56,37.18,28.06,82.64,1.21,83.7,21.49,53.89,73.94,76.24,71.83,100,29414.34629,56.18840008,1437.245062,26288001,1.1212E+11,1.14804E+11,108.7149018,2.619870241,8.840259165,30.73373332,20.9173561,32232276659,0.769,27.87044263,1.226533166,85.2,80.8,82.94634146,1.366528764,31121471,29415238,24.63479061,32.07456114,70.144
30,Japan,EasternAsia,377930,127484,349.7,95.4,4383076,1.2,34628.7,1.2,26.4,72.4,3.7,26.5,69.8,3,48.9/69.7,96,97,644932,606924,38008,135608,-0.1,93.5,0.6,1.4,12.9/33.4,2043.9/1.6,19.4,2.2,10.2,2.3,3.6,101.2/101.3,101.9/101.6,60.9/65.7,9.3,125,93.3,404,68.5,1214.0/9.6,1114,146,100.0/100.0,100.0/100.0,-99,-99,147.49,102.52,79.11,78.63,85.28,12.68,46.81,41.01,31.91,2.21,2.75,45.15,36.32,72.76,1.37,85.28,27.56,57.62,89.92,47.83,102.52,100,39433.50799,66.45546292,10684.574,123898000,1.81994E+11,1.91028E+11,103.962704,4.174530252,10.93593314,17.75185227,24.9403093,1.06416E+11,0.844,16.82158589,0.467211747,87.26,81.09,84.0997561,0.930768157,64853783,61932014,11.625408,48.60577458,91.535
31,Jordan,WesternAsia,89318,9702,109.3,102.6,37517,2.4,4940.1,4,27.7,68.4,2,17.8,80.2,13.4,14.5/64.5,134,135,7509,19207,-11698,-3332,4.9,83.7,3.8,3.6,35.5/5.7,3112.0/41.0,721.4,17.1,7.5,2.6,-99,97.6/97.1,84.8/80.2,47.3/42.5,15.4,179.4,53.4,113,1.1,26.5/3.6,7,47,97.8/92.3,98.6/98.9,5.8,-99,117.47,42.27,56.86,71.92,59.22,7.96,47.76,85.73,88.42,6.48,7.23,15.43,13.84,76.63,1.3,59.22,12.51,36.83,50.19,56.19,42.27,100,2894.827527,63.12277762,158.95506,3381677,6389295775,4626619718,119.3298693,-10.56590326,8.119250834,35.12049641,-1.929361129,83323220,0.562,56.35332929,3.323894476,76.052,72.628,74.292,4.841143745,4829775,4949398,15.02697784,12.63130959,90.747
32,Lebanon,WesternAsia,10452,6082,594.6,100.6,50149,1.5,8571.4,3.2,19.6,77.2,8.2,22.4,69.4,7,23.8/70.6,95,95,3402,20409,-17007,-8146,6,87.8,3.2,1.7,23.1/12.0,1997.8/34.1,1054.2,9.2,6.4,2.4,2.6,88.3/96.6,61.0/61.5,45.7/39.5,3.1,87.1,74,87,13.4,24.1/4.3,7,55,99.0/99.0,80.7/80.7,2.04,-99,106.18,53.61,50.84,64.28,61.65,13.95,36.15,85.11,69.39,5.36,6.27,18.67,15.94,126.66,0.79,61.65,30.89,46.91,46.92,60.23,53.61,100,5665.793232,50.00213601,53.387,2879528,15125597884,13823773942,118.9993072,-22.83356483,8.195544034,21.88032454,-3.174194813,272165501,0.538,46.42959349,4.321352183,80.786,77.031,78.833,4.596769661,3386334,3425539,15.32723227,25.52627191,88.429
33,Lithuania,NorthernEurope,65286,2890,46.1,85.4,41402,1.8,14383.7,3.6,29.8,66.5,8.7,24.5,66.8,9.2,54.1/66.1,125,125,25025,27501,-2476,-977,-1.3,66.5,-0.5,1.6,14.8/25.3,136.0/4.7,4.7,4.4,6.6,4.3,4.6,103.7/103.2,106.1/110.3,82.0/55.8,21.3,139.5,71.4,26,34.8,12.8/4.4,74,98,99.7/90.4,97.2/82.8,-99,-99,130.28,51.67,59.97,68.74,46.73,14.19,28,34.27,25.04,3.9,4.14,25.62,24.18,89.18,1.12,46.73,13.25,30.69,36.15,40.08,51.67,100,14388.7945,51.58048857,0.472,1069268,9462919104,5901919958,112.6424898,0.969448932,6.457564235,73.60578661,21.54414832,2317936056,0.712,71.22214551,3.722888623,80.5,70.7,75.4804878,1.715538627,1523077,1305326,16.63662249,16.57680295,67.516
34,Malaysia,South-easternAsia,330323,31624,96.3,106.7,296284,5,9768.4,8.6,39.6,51.8,11.8,27.3,60.9,3.3,49.3/77.8,122,130,189414,168375,21039,8960,1.8,74.7,2.7,2.1,24.3/9.7,2514.2/8.3,238.6,6.5,4.2,1.3,5,101.9/101.7,80.7/74.6,31.8/20.8,10.4,143.9,71.1,1272,67.5,242.8/8.1,3738,118,100.0/93.0,96.1/95.9,0,-99,51.65,73.34,35.25,65.99,40.24,9.53,39.4,67.08,-79.43,4.07,4.05,24.6,24.66,72.87,1.37,40.24,11.19,26.32,42.44,20.87,73.34,100,8653.817541,44.46220955,1455.209824,58711937,37022387968,42022247442,119.6050658,2.80919895,3.859398142,70.04552188,32.43113394,74136279705,0.622,63.17393384,3.871201158,78.008,73.903,75.828,1.116540552,15104524,16000504,12.95221278,47.71702846,75.447
35,Mexico,CentralAmerica,1964375,129163,66.4,99.2,1140724,2.5,8980.9,3.6,36,60.4,13.4,25.2,61.3,4.1,45.5/79.5,120,120,373883,387064,-13181,-33216,1.4,79.2,1.6,2.3,26.7/10.1,1193.2/0.9,5.9,18.8,6.3,2.1,5.3,103.2/103.6,93.5/87.7,30.0/29.9,42.6,85.3,57.4,1162,34,480.3/3.8,8514,62,97.2/92.1,88.0/74.5,0.03,-99,129.06,60.08,49.68,70.11,29.81,6.94,41.66,66.74,60.74,6.85,6.31,14.6,15.85,86.58,1.16,29.81,8.37,19.53,28.06,25.8,60.08,100,7901.164712,51.46924127,928.8355098,58537832,27463459761,37265060551,130.1978025,-1.77023701,5.516541377,37.68984096,23.10455226,69687047762,0.607,39.50429844,6.04145724,77.827,72.046,74.947,0.502372223,63752822,61024502,13.04892352,35.75647542,79.867
36,Netherlands,WesternEurope,41542,17036,505.2,99,750318,2,44332.1,1.8,20,78.2,2.2,15.9,81.9,5.6,57.3/69.7,115,115,511714,420969,90745,65129,0.3,90.5,1,1.7,16.4/25.0,1979.5/11.7,116.3,3.5,10.9,3.4,5.5,104.4/105.0,136.3/134.7,82.5/74.7,38,123.5,93.1,40,11.1,167.3/9.9,2447,178,100.0/100.0,97.5/99.9,-99,-99,175.23,86.52,70.11,82.5,72.47,8.52,33.9,27.62,61.87,5.38,5.93,18.6,16.86,56.24,1.78,72.47,32.45,53.29,55.95,82.27,86.52,100,45289.30488,54.19074121,5855.480476,42763443,1.74354E+11,1.66614E+11,111.0420628,10.81391378,10.10083482,83.39176802,31.34799891,78192852335,0.8,72.6364432,1.381458714,83.4,80.2,81.76097561,1.158526989,8607750,8523546,23.08554134,29.55634975,91.077
37,New Zealand,Oceania,268107,4706,17.9,96.7,173417,3.1,38294.3,6.5,23,70.6,5.9,21.4,72.6,5.5,62.1/72.8,116,118,33833,36423,-2589,-5501,1.1,86.3,1,2,19.8/20.8,1039.7/23.0,1.7,4.4,11,2.9,6.4,99.1/99.6,119.9/113.4,96.7/71.6,34.2,121.8,88.2,199,38.6,34.7/7.7,783,207,100.0/100.0,-99,-99,-99,184.74,89.87,61.22,70.58,80.77,8.14,30.23,20.03,85.41,4.99,5.92,20.04,16.9,63.92,1.56,80.77,33.8,58.26,73.13,77.46,89.87,100,31778.66641,53.95420714,1335.953205,16271523,16950151676,13002353628,110.6515787,-2.707034666,9.170055389,27.48318944,24.95295811,564489408,0.767,26.36698212,1.850787675,83.4,80,81.65853659,1.20846329,2436831,2357069,27.48419254,52.81477339,86.466
38,Norway,NorthernEurope,386194,5305,14.5,101.8,386578,1.6,74185.5,1.8,34.6,63.5,2.2,20.2,77.6,5.1,61.1/68.3,103,104,89120,72473,16647,33746,1.2,80.5,1.3,1.8,17.8/22.3,741.8/14.2,73.2,2.4,9.7,4.4,7.4,100.3/100.5,111.1/114.7,91.5/62.8,39.6,113.6,96.8,64,33.2,47.6/9.2,8204,233,100.0/100.0,98.0/98.3,-99,-99,165.93,105.58,54.31,74.19,106.31,7.9,31.32,19.45,49.32,4.18,4.51,23.94,22.16,50.95,1.96,106.31,39.88,74.47,98.31,117.13,105.58,100,71668.66679,52.68356719,,,40502614063,49724162253,114.5507194,4.571425108,10.44634208,36.33299569,31.33582085,4272827826,0.771,32.83142895,1.875100596,84.3,81,82.6097561,1.617823782,2615346,2661622,22.47754585,21.89055356,81.871
