"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Burkina Faso","BFA","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","14.3775196075439","","","","","","","","","","","","","","","","20.180290222168","","","","","19.4141502380371","","","","","","","31.2292594909668","","32.9666213989258","32.730598449707","39.2577781677246","","","","","","","50.0962982177734","","","","58.8739814758301","","","",
"Bangladesh","BGD","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","35.6532516479492","","","","","","","","","","44.6808280944824","","","","","","","","","","63.622730255127","","","","","","61.8728103637695","","","","77.984992980957","77.8329086303711","85.5271530151367","85.5547332763672","87.8887710571289","92.2426528930664","92.9507598876953","93.2964401245117","94.8624267578125","94.4617767333984","",
"Bulgaria","BGR","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.2124786376953","","","","","","","","","","97.8650512695313","","","","","","","","","","",
"Bahrain","BHR","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","86.2930908203125","","","","","","","","","","96.9381103515625","","","","","","","","","","97.0247116088867","","","","","","","","","95.4544677734375","","","","","","","","","","","",
"Bahamas, The","BHS","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.0199584960938","","","","","","","","","99.7939300537109","","","","","","","","","","","99.4623107910156","","99.6624298095703","","","","","","","","",
"Belarus","BLR","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.7662811279297","","","","","","","","","","99.7918395996094","","","","","","","","","","99.8232116699219","","","","","","","","","","99.8728332519531","","",
"Belize","BLZ","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.641471862793","","","","","","","","","84.2230529785156","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","83.5519790649414","","","","","","","","","","","","","","","","93.896110534668","","","","","","","","","97.3237762451172","","","","","","99.4413604736328","99.1224975585938","99.3839721679688","","99.0075225830078","98.9958801269531","","","99.399169921875","","","","","99.5565872192383","",
"Brazil","BRA","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","83.9142684936523","","","","","","","","","","","","","","","","","","","","94.1841125488281","","","","96.8438568115234","","97.5822982788086","97.8006286621094","97.8436279296875","98.0655364990234","97.5141220092773","98.4869232177734","98.6196594238281","98.7366790771484","98.8456878662109","98.963752746582","99.1109619140625","99.1554107666016","99.2041702270508","","","",
